"","LM.Skm.1","LM.Skm.2","LM.Skm.3","LM.Skm.4","LM.Skm.5","LM.Skm.6","BM.Neutrophil.Il1b","BM.Neutrophil.Ms4a3","BM.Neutrophil.Gpr27","BM.Basophil","LM.neutrophils","DH.DG.1","DH.DG.2","DH.DG.3","DH.Choroid_Plexus","FC.Inh.Vip.Npy","FC.Inh.Sema5a.S100a13","FC.Inh.Six3.Def6","FC.Inh.Sst.Pvalb","DH.Inh","FC.Inh.Lrrc38.Plcxd3","DH.Ogc","FC.Ogc","FC.L2.3","FC.L4","FC.Claustrum","HT.CM","HT.Endo","LM.Endo","HT.Endocardial","FC.Endo","BM.Endo","DH.Endo","HT.FB","LM.FB","LM.Kerat","BM.Naive.B.cell","LM.Bcell","HT.Bcell","BM.Eryth","DH.CA1","DH.CA2.3","FC.Asc","DH.Asc","BM.Pre.B.cell","BM.Late.Pro.B.cell","BM.Monocyte","FC.L5a.Deptor","FC.L5.Parm1","HT.Macg","BM.Macg","LM.Macg","FC.L6","DH.Sub_Ent","FC.L5.Fezf2","BM.Pro.Eryth","LM.Eryth","FC.Mgc","DH.Mgc","HT.SMC","LM.SMC","FC.Peri","DH.SMC","BM.T.cell","BM.HSC","HT.Tcell","FC.Opc","DH.Opc","BM.Dendritic.Cells","BM.Plasma.Cell","BM.MesenchymalSC","LM.Fat","HT.Fat","LM.MuscleSC","DH.Peri"
"SkeletalMuscle",11058,9027,5041,1305,591,341,1,0,0,1,46,2,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,4,60,1,0,0,0,0,135,66,0,66,1,1,1,0,0,0,0,0,0,0,0,2,0,83,0,0,0,0,66,0,1,0,67,1,1,0,0,0,0,0,0,0,0,14,1,21,3
"Neutrophils",2,2,7,1,1,3,10267,7172,6612,612,328,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,2,2,38,0,0,0,0,3,4,15,0,0,6,0,25,0,0,0,4,1,2,0,0,0,0,0,2,43,0,0,0,3,22,2,0,0,0,0
"DG",0,0,0,0,0,0,0,0,0,0,0,5326,4490,3742,909,5,1,0,0,30,0,98,1,2,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,18,0,113,0,0,0,15,5,0,0,0,0,77,0,0,0,0,77,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,10
"InN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3659,3003,2560,2471,2025,471,12,46,28,9,0,1,0,0,0,8,0,2,0,0,1,1,0,0,0,0,1,9,0,0,0,1,270,7,0,0,0,43,25,29,0,0,12,0,0,2,15,0,0,0,0,15,3,0,0,0,0,0,0,4
"Oligodendrocytes",2,1,1,2,0,1,1,0,0,1,2,4,0,0,188,22,3,0,3,11,3,7642,6127,3,2,1,1,3,2,1,8,0,5,3,1,2,1,1,0,0,1,4,3,0,0,0,0,7,4,1,0,0,6,11,1,1,0,3,4,1,0,7,1,0,0,2,6,5,0,0,0,0,0,0,2
"L2.3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,3,0,0,1,0,20,5809,5242,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,98,61,0,0,0,89,511,0,0,0,2,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
"cardiomyocytes",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12390,261,0,56,0,0,0,24,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,99,2,0,0,0,0,46,0,0,0,0,0,0,44,0,0
"Endothelial",25,18,16,7,4,13,78,9,25,6,8,1,0,3,205,85,9,1,0,8,2,43,23,0,0,1,11,5101,1500,1475,887,682,547,69,193,56,26,23,73,45,0,0,6,7,4,2,10,0,1,320,0,142,1,3,0,10,4,8,7,97,55,37,14,2,8,65,1,3,2,2,1,11,16,6,27
"Fibroblast",47,8,24,10,2,28,10,2,1,1,2,2,1,2,3,1,0,0,0,2,0,3,4,1,0,0,5,160,18,113,1,0,0,7250,3489,593,1,2,48,4,0,0,0,1,1,0,0,0,0,92,0,5,0,0,0,0,2,0,0,22,24,12,0,0,0,15,0,0,0,1,1,1,57,4,12
"Bcell",3,0,9,0,3,17,42,26,5,29,2,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,7293,424,397,44,0,0,0,0,156,0,0,0,0,0,0,5,0,0,0,46,1,16,5,0,0,0,0,3,6,0,0,0,1,27,0,0,0,0,0
