Tissue	Cluster	Name	Clade	Mitotic
DH	1	Ogc	Glia	Y
DH	2	DG.1	ExN	N
DH	3	DG.2	ExN	N
DH	4	CA1	ExN	N
DH	5	DG.3	ExN	N
DH	6	InN	InN	N
DH	7	Sub_Ent	ExN	N
DH	8	Asc	Glia	Y
DH	9	CA2.3	ExN	N
DH	10	Mgc	Glia	Y	
DH	11	Low_quality	NA	NA
DH	12	Opc	Glia	Y
DH	13	Endo	Glia	Y
DH	14	Peri	Glia	Y
DH	15	SMC	Glia	Y
FC	1	L2.3	ExN	N
FC	2	Ogc	Glia	Y
FC	3	L4	ExN	N
FC	4	InN.Vip.Npy	InN	N
FC	5	Asc	Glia	Y
FC	6	L5.Deptor	ExN	N
FC	7	InN.Meis2	InN	N
FC	8	L6	ExN	N
FC	9	Mgc	Glia	Y
FC	10	InN.Six3	InN	N
FC	11	InN.Sst.Pvalb	InN	N
FC	12	Claustrum	ExN	N
FC	13	Opc	Glia	Y
FC	14	L5.Parm1	ExN	N
FC	15	Endo	Glia	Y
FC	16	Peri	Glia	Y
FC	17	L5.Fezf2	ExN	N
FC	18	InN.Lrrc38.Plcxd3	InN	N
HT	1	CM	Muscle	N
HT	2	FB	Other	Y
HT	3	Endo	Other	Y
HT	4	Low_quality	NA	NA
HT	5	Macg	Myeloid	Y
HT	6	SMC	Muscle	Y
HT	7	Endocardial	Other	Y
HT	8	B_cell	Lymphoid	Y
HT	9	Fat	Other	N
HT	10	T_cell	Lymphoid	Y
HT	11	doublet	NA	NA
LM	1	Skm.Myh4.1	Muscle	N
LM	2	Skm.Myh1	Muscle	N
LM	3	Low_quality	NA	NA
LM	4	Skm.Myh4.2	Muscle	N
LM	5	FB	Other	Y
LM	6	Endo	Other	Y
LM	7	MTJ	Muscle	N
LM	8	Macg	Myeloid	Y
LM	9	SMC	Muscle	Y
LM	10	Fat	Other	N
LM	11	B_cell	Lymphoid	Y
LM	12	Kerat	Other	Y
LM	13	MuSC	Other	Y
LM	14	NMJ	Muscle	N
LM	15	Skm.Gm5141	Muscle	N
LM	16	Neutrophil	Myeloid	Y
LM	17	Eryth	Myeloid	Y
BM	1	Neutrophil.Il1b	Myeloid	Y
BM	2	Eryth	Myeloid	Y
BM	3	Naive_B_cell	Lymphoid	Y
BM	4	Neutrophil.Ms4a3	Myeloid	Y
BM	5	Neutrophil.Gpr27	Myeloid	Y
BM	6	Monocyte	Myeloid	Y
BM	7	Pre_B_cell	Lymphoid	Y
BM	8	Pro_Eryth	Myeloid	Y
BM	9	T_cell	Lymphoid	Y
BM	10	Macg	Myeloid	Y
BM	11	MeSC	Other	Y
BM	12	Basophil	Myeloid	Y
BM	13	Dendritic	Myeloid	Y
BM	14	Late_Pro_B	Lymphoid	Y
BM	15	Endo	Other	Y
BM	16	HSC	Other	Y
BM	17	Plasma	Lymphoid	Y
