"","DH_Ogc","DH_DG.1","DH_DG.2","DH_CA1","DH_DG.3","DH_Inh","DH_Sub_Ent","DH_Asc","DH_CA2.3","DH_Mgc","DH_Choroid_Plexus","DH_Opc","DH_Endo","DH_Pericytes","DH_SMC","FC_L2.3","FC_Ogc","FC_L4","FC_Inh.Vip.Npy","FC_Asc","FC_L5a.Deptor","FC_Inh.Sema5a.S100a13","FC_L6","FC_Mgc","FC_Inh.Six3.Def6","FC_Inh.Sst.Pvalb","FC_Claustrum","FC_Opc","FC_L5.Parm1","FC_Endo","FC_Peri","FC_L5.Fezf2","FC_Inh.Lrrc38.Plcxd3","LM_Skm.1","LM_Skm.2","LM_Skm.3","LM_FB","LM_Endo","LM_Kerat","LM_Skm.4","LM_Macg","LM_SMC","LM_Fat","LM_MuscleSC","LM_Bcell","LM_Skm.5","LM_neutrophils","LM_Eryth","HT_CM","HT_FB","HT_Endo","HT_Macg","HT_SMC","HT_Endocardial","HT_Bcell","HT_Fat","HT_Tcell","BM_Neutrophil.Il1b","BM_Eryth","BM_Naive.B.cell","BM_Neutrophil.Ms4a3","BM_Neutrophil.Gpr27","BM_Monocyte","BM_Pre.B.cell","BM_Pro.Eryth","BM_T.cell","BM_Macg","BM_MesenchymalSC","BM_Basophil","BM_Dendritic.Cells","BM_Late.Pro.B.cell","BM_Endo","BM_HSC","BM_Plasma.Cell"
"DH_Ogc",1,0.00399520575309628,0.00566801619433198,0.0052434456928839,0.00761421319796954,0.00419047619047619,0.00516077808654228,0.0075,0.00486526946107784,0.00553846153846154,0.00824402308326463,0.0118711136235161,0.00175746924428822,0.00559552358113509,0.00355871886120996,0.00361925443358668,0.0347912524850895,0.0046999276934201,0.00293685756240822,0.00176133861734919,0.00382875043508528,0.00640146319158665,0.00492797573919636,0.00515759312320917,0.00267993874425727,0.00383288616328095,0.00321658327376698,0.00611764705882353,0.00393700787401575,0.00250836120401338,0.00356379187455453,0.00340798442064265,0.00438917337234821,0.00282485875706215,0.00324324324324324,0.00194931773879142,0.00260145681581686,0.0038961038961039,0.00219659527732015,0.00632911392405063,0.00202565833896016,0.00619578686493185,0.0018450184501845,0.00198019801980198,0.00217706821480406,0.00357398141529664,0.00100806451612903,0.00488758553274682,0.0056694286960314,0.00280636108512629,0.00301334481274214,0.00267379679144385,0.00533204071740184,0.00398406374501992,0.00229533282325937,0.00233644859813084,0.00259291270527226,0.0016366612111293,0.00180505415162455,0.0015220700152207,0.00203977562468129,0.00327153762268266,0.00287218764959311,0.00151821862348178,0.000957854406130268,0.00450225112556278,0.00293111871030777,0.00628019323671498,0.00191846522781775,0.00238435860753457,0.0025419420437214,0.00321543408360129,0.0101522842639594,0.00548780487804878
"DH_DG.1",0.00399520575309628,1,0.0148452305748579,0.00589448865310934,0.0146771037181996,0.00387828162291169,0.00866068666872873,0.00439238653001464,0.00737680731779286,0.00510421097405359,0.0101813553929367,0.00398565165404544,0.00160771704180064,0.00151209677419355,0.00161812297734628,0.00776978417266187,0.00572450805008945,0.00804597701149425,0.00581226387678001,0.00501840080294413,0.00472747497219132,0.00549073438572409,0.00685135537682455,0.00242228502220428,0.00510357250075053,0.0045004500450045,0.00511654349061967,0.00314905528341498,0.00540540540540541,0.00207900207900208,0.00375763269140442,0.00431965442764579,0.00238435860753457,0.0016,0.00193798449612403,0.00251979841612671,0.001886080724255,0.0035288928098809,0.00235478806907378,0.00467121810995329,0.00135746606334842,0.00212947189097104,0.000551267916207277,0.00178332590280874,0.00189933523266857,0.00187881634570221,0.000581057524694945,0,0.00264288074000661,0.00384346610761705,0.00459770114942529,0.00336813742000674,0.00393982808022923,0.00255661066471877,0.00245821042281219,0.000496277915632754,0.00159066808059385,0.001953125,0.00251256281407035,0.00185322461082283,0.00185942729639271,0.00312377977352597,0.00177367860943597,0.00370644922164566,0.00177683013503909,0.00329912023460411,0.00252252252252252,0.00285306704707561,0.00284697508896797,0.000706963591375044,0.00185459940652819,0.00269853508095605,0.0033210332103321,0.00295234078447912
"DH_DG.2",0.00566801619433198,0.0148452305748579,1,0.0119617224880383,0.0091683038637852,0.004516711833785,0.00560049782202863,0.00406804733727811,0.010749477455957,0.00560103403705299,0.0112504018000643,0.00403225806451613,0.00217864923747277,0.000510986203372509,0.00109529025191676,0.0110625909752547,0.00505780346820809,0.00665509259259259,0.00380228136882129,0.00574712643678161,0.0047659097280628,0.00311203319502075,0.00721370604147881,0.00327064595257563,0.00484408113835907,0.00453995157384988,0.00717978173463527,0.00566973777462792,0.00343544231319782,0.000526870389884088,0.00237755587256301,0.00473071324599709,0.00193330111164814,0.00243013365735115,0.00392772977219167,0.00181752090149037,0.00420489296636086,0.00447227191413238,0.00397614314115308,0.00289960130482059,0.00275482093663912,0.00302114803625378,0,0.000902527075812274,0.000480769230769231,0.0019047619047619,0.000591016548463357,0,0.003003003003003,0.00352858151023289,0.00231558054912339,0.00408441116405718,0.00361794500723589,0.00258397932816537,0.00099601593625498,0.00151209677419355,0.000537923614846692,0.00157977883096367,0.00254345061466723,0.0026246719160105,0.00452318130418394,0.00276352151598895,0.00359066427289048,0.00112107623318386,0.0021551724137931,0.00296296296296296,0.00364564345607,0.00324441240086518,0.00359841669665347,0.0039412396990326,0.00225056264066016,0.0031201248049922,0.00186219739292365,0.00213310580204778
"DH_CA1",0.0052434456928839,0.00589448865310934,0.0119617224880383,1,0.00643974241030359,0.00540233153255616,0.0082256169212691,0.00378787878787879,0.00872256612267867,0.00396196513470681,0.00813498041578789,0.00485618229361225,0.00098135426889107,0.00278810408921933,0.0029673590504451,0.00823497117760088,0.00302724520686176,0.0101592531576057,0.00553709856035437,0.00252604988948532,0.00772303595206392,0.00453514739229025,0.00709018718094158,0.00340264650283554,0.00485436893203883,0.00399429386590585,0.00624321389793703,0.00363396101750909,0.00460954446854664,0.00190930787589499,0.00130151843817787,0.00372881355932203,0.0013215859030837,0.00224803297115024,0.00254638050200073,0.00441726129799524,0.0035498757543486,0.00245901639344262,0.00220669363736668,0.00338180588434224,0.00294488851493479,0.00357852882703777,0.000503778337531486,0.0033195020746888,0.00131694468832309,0.00261096605744125,0.00105764145954521,0.000518941359626362,0.001875,0.00296540362438221,0.00372902423865755,0.00510529674537333,0.00439040864572779,0.00344115622849277,0.000905797101449275,0.00137362637362637,0.000485672656629432,0.0018308311973636,0.00156188988676298,0.00209205020920502,0.0010482180293501,0.00146252285191956,0.00402279584311096,0.00243732590529248,0.00100435219283562,0.00275862068965517,0.0030570652173913,0.00437710437710438,0.00134003350083752,0.00334224598930481,0.000348310693138279,0.00289435600578871,0.00242802636142907,0.00196540880503145
"DH_DG.3",0.00761421319796954,0.0146771037181996,0.0091683038637852,0.00643974241030359,1,0.00716287760822174,0.00805152979066022,0.00616095494801694,0.00705521472392638,0.000896860986547085,0.00928381962864721,0.00420521446593776,0.00172910662824207,0.00270124257158293,0.00232288037166086,0.00988615937687238,0.00600600600600601,0.00655737704918033,0.00543478260869565,0.00279232111692845,0.00723170378941279,0.00358551452133381,0.0061938680706101,0.00213037920749893,0.00499843798812871,0.00374414976599064,0.00472115668338743,0.00293255131964809,0.00383480825958702,0,0.00249875062468766,0.00188394875659382,0.00203355363497712,0.00253485424588086,0.00286064568859828,0.0018875047187618,0.00277998411437649,0.00140121438580103,0.00206782464846981,0.00528102602791399,0.00434153400868307,0.00045024763619991,0,0.00236854571293226,0.00151821862348178,0.000499750124937531,0,0.000615384615384615,0.00380228136882129,0.00182681768359518,0.00342700479780672,0.00211118930330753,0.00451127819548872,0.00384024577572965,0.00315457413249211,0.00106213489113117,0.000569151963574274,0.00288421920065925,0.00177069499778663,0.00116776956014013,0.00352388410336727,0.0020550760378134,0.00410141685309471,0.00272373540856031,0.00298507462686567,0.00269334359368988,0.0030268634127885,0.00261780104712042,0.00298618887644644,0.00297176820208024,0.00312256049960968,0.00324939073923639,0.00622083981337481,0.00267737617135207
"DH_Inh",0.00419047619047619,0.00387828162291169,0.004516711833785,0.00540233153255616,0.00716287760822174,1,0.0053475935828877,0.00455501051156272,0.00654524758110415,0.00607041683528936,0.00763825236785823,0.00685975609756098,0,0.00285171102661597,0.00101112234580384,0.00359911406423034,0.00824742268041237,0.00442600276625173,0.00730747611017426,0.00514304082288653,0.00646551724137931,0.00559947299077734,0.00401261106334193,0.00307929176289453,0.00696257615317668,0.00463096960926194,0.00384087791495199,0.00504201680672269,0.00605226960110041,0.000976085895558809,0.000885739592559787,0.00275387263339071,0.00135013501350135,0.000380807311500381,0.00222057735011103,0.00206753962784287,0.00252525252525253,0.00125260960334029,0.00187125748502994,0.00309278350515464,0.0030055817947617,0.00324149108589951,0.000516262261228704,0.00338696020321761,0.00179452669358457,0.000443458980044346,0.000542299349240781,0.000532197977647685,0.00222151697873691,0.00334896182183523,0.00252047889098929,0.00355871886120996,0.00205479452054795,0.00420168067226891,0.00138953219082909,0.00140449438202247,0,0.00298507462686567,0.00318852132323635,0.00355113636363636,0.00177809388335704,0.0029806259314456,0.00511596180081855,0.0014149274849664,0.000680272108843537,0.0045662100456621,0.00310773480662983,0.00239071038251366,0.00341180484476288,0.00476190476190476,0.00141843971631206,0.00294550810014728,0.00353107344632768,0.00240480961923848
"DH_Sub_Ent",0.00516077808654228,0.00866068666872873,0.00560049782202863,0.0082256169212691,0.00805152979066022,0.0053475935828877,1,0.00619082301529497,0.00644972148929933,0.00548754748839173,0.00852541837701295,0.0079428117553614,0.00212314225053079,0.004004004004004,0.00213675213675214,0.00542547115933752,0.00783475783475784,0.00685127033970882,0.00665316748625976,0.00532091785833056,0.00665188470066519,0.00408580183861083,0.00443262411347518,0.00401284109149278,0.00838574423480084,0.00627615062761506,0.00822461712989223,0.00662713637949076,0.00708817692089595,0.00102827763496144,0.00325732899022801,0.00572860723236663,0.00378608613345954,0.000396510705789056,0.00153846153846154,0.00214438884917798,0.00262368815592204,0.00614035087719298,0.00390167772142021,0.00392296718972896,0.00269541778975741,0.00465904277848369,0.00163844893500819,0.00265486725663717,0.00377180575200377,0.00139599813866915,0.00288018433179724,0.00169204737732657,0.00394477317554241,0.00312174817898023,0.00391389432485323,0.00401875418620228,0.00462798148807405,0.00472555434387495,0.00292397660818713,0.00246305418719212,0.004739336492891,0.000387146728610143,0.00416146483562214,0.000367511944138185,0.00332840236686391,0.00232378001549187,0.0031757233592096,0.00294225818315557,0.00211864406779661,0.00108972030512169,0.00358294518093873,0.00247875354107649,0.00247349823321555,0.00458230525202679,0.00258016955399926,0.00344695518958254,0.00293040293040293,0.00545302013422819
"DH_Asc",0.0075,0.00439238653001464,0.00406804733727811,0.00378787878787879,0.00616095494801694,0.00455501051156272,0.00619082301529497,1,0.00586409106588479,0.00484913793103448,0.00752728641324802,0.00848303393213573,0.00292611558156547,0.00269360269360269,0.000736377025036819,0.00233566900233567,0.00521512385919166,0.00467289719626168,0.0023680649526387,0.00885668276972625,0.00483870967741936,0.00829187396351575,0.00488145048814505,0.00404653515427415,0.00387460373370905,0.00493653032440056,0.00396563119629874,0.00808510638297872,0.00430036387694343,0.00140056022408964,0.00552147239263804,0.00306345733041575,0.00438321853475266,0.003,0.00336538461538462,0.00263042525208242,0.00465549348230913,0.00509049773755656,0.00439667806546165,0.00612959719789842,0.00586510263929619,0.00324499729583559,0.00152091254752852,0.00632911392405063,0.00124223602484472,0.00183823529411765,0.000817661488143908,0.00238853503184713,0.00197472353870458,0.00380388841927303,0.00431372549019608,0.00445344129554656,0.00435729847494553,0.00536912751677852,0.00260247234873129,0.00330469266358229,0.00288392213410238,0.00291120815138282,0.00264410364886304,0.00318471337579618,0.00319780721790772,0.00145067698259188,0.000860585197934596,0.00408905043162199,0.00259179265658747,0.00268696820420958,0.00351493848857645,0.00346921075455334,0.00259291270527226,0.000858000858000858,0.00593607305936073,0.00286123032904149,0.0031616982836495,0.00373731980779498
"DH_CA2.3",0.00486526946107784,0.00737680731779286,0.010749477455957,0.00872256612267867,0.00705521472392638,0.00654524758110415,0.00644972148929933,0.00586409106588479,1,0.00515463917525773,0.00540702913787924,0.00447928331466965,0.000490196078431373,0.00185614849187935,0,0.00961802693047541,0.00539265251095383,0.00794302930703917,0.00442355543267902,0.00379266750948167,0.00718467269824375,0.00551053484602917,0.00594732370433305,0.00302228938420854,0.00427960057061341,0.00571428571428571,0.00733496332518337,0.00562541363335539,0.00542593597395551,0,0.000433275563258232,0.00508992195453003,0.00530503978779841,0.00412757973733583,0.00181686046511628,0.00271278399457443,0.00177116542685087,0.00245800901269971,0.00405156537753223,0.00371998647277646,0.00125944584382872,0.00118953211736717,0,0.00124172185430464,0.00087719298245614,0.00130321459600348,0.000528262017960909,0.00103788271925272,0.00344180225281602,0.000657246138678935,0.00403977625854568,0.0035031847133758,0.00235849056603774,0.00240549828178694,0.00181241504304486,0.00274977085242896,0.00194457948468644,0.00146359312111233,0.00156128024980484,0.00174216027874564,0.00279916025192442,0.00256035113386979,0.00167168171180207,0.00208768267223382,0.00201005025125628,0.00241212956581668,0.00101660454083362,0.00336247478143914,0.00335570469798658,0.002002002002002,0.00279232111692845,0.00289330922242315,0.00416811392844738,0.00235849056603774
"DH_Mgc",0.00553846153846154,0.00510421097405359,0.00560103403705299,0.00396196513470681,0.000896860986547085,0.00607041683528936,0.00548754748839173,0.00484913793103448,0.00515463917525773,1,0.00437445319335083,0.00490196078431373,0.00405679513184584,0.00635785649409628,0.00307692307692308,0.00459594025277671,0.00940438871473354,0.00343511450381679,0.00194024058983314,0.00520340586565752,0.00293470286133529,0.00391581008321096,0.00200320512820513,0.0132659507264687,0.00488400488400488,0.00202922077922078,0.0056775170325511,0.00556398583712696,0.00492051476154429,0.00478927203065134,0.00720576461168935,0.00950871632329636,0.00575657894736842,0.00184956843403206,0.00648967551622419,0.00368615060558189,0.00338791643139469,0.0101302460202605,0.00359496704613541,0.00947867298578199,0.00376222723852521,0.00545702592087312,0.00645161290322581,0.00293255131964809,0.00654129190515127,0.00803858520900321,0,0.00342857142857143,0.0027906976744186,0.00352289884247609,0.00553505535055351,0.00913022585295531,0.00365153886280647,0.00538793103448276,0.00694444444444444,0.00264550264550265,0.00798403193612774,0.00297441998810232,0.0033112582781457,0.0033003300330033,0.00165562913907285,0.0041592394533571,0.00309437854564208,0.00329127811300055,0.00258397932816537,0.00215749730312837,0.00475184794086589,0.0062467464862051,0.00674974039460021,0.00463201235203294,0.00330396475770925,0.0034965034965035,0.00656455142231947,0.00806993947545393
