"","DH_Ogc","DH_DG.1","DH_DG.2","DH_CA1","DH_DG.3","DH_Inh","DH_Sub_Ent","DH_Asc","DH_CA2.3","DH_Mgc","DH_Choroid_Plexus","DH_Opc","DH_Endo","DH_Pericytes","DH_SMC","FC_L2.3","FC_Ogc","FC_L4","FC_Inh.Vip.Npy","FC_Asc","FC_L5a.Deptor","FC_Inh.Sema5a.S100a13","FC_L6","FC_Mgc","FC_Inh.Six3.Def6","FC_Inh.Sst.Pvalb","FC_Claustrum","FC_Opc","FC_L5.Parm1","FC_Endo","FC_Peri","FC_L5.Fezf2","FC_Inh.Lrrc38.Plcxd3","LM_Skm.1","LM_Skm.2","LM_Skm.3","LM_FB","LM_Endo","LM_Kerat","LM_Skm.4","LM_Macg","LM_SMC","LM_Fat","LM_MuscleSC","LM_Bcell","LM_Skm.5","LM_neutrophils","LM_Eryth","HT_CM","HT_FB","HT_Endo","HT_Macg","HT_SMC","HT_Endocardial","HT_Bcell","HT_Fat","HT_Tcell","BM_Neutrophil.Il1b","BM_Eryth","BM_Naive.B.cell","BM_Neutrophil.Ms4a3","BM_Neutrophil.Gpr27","BM_Monocyte","BM_Pre.B.cell","BM_Pro.Eryth","BM_T.cell","BM_Macg","BM_MesenchymalSC","BM_Basophil","BM_Dendritic.Cells","BM_Late.Pro.B.cell","BM_Endo","BM_HSC","BM_Plasma.Cell"
"DH_Ogc",1,0.00265111346765642,0.0053276505061268,0.00476947535771065,0.00802139037433155,0.00531914893617021,0.0059044551798175,0.00589812332439678,0.00370762711864407,0.00589812332439678,0.00691121743753323,0.0118918918918919,0.00694815606627472,0.00596852957135106,0.00641711229946524,0.00373134328358209,0.0379746835443038,0.00535331905781585,0.00212539851222104,0.00212426978226235,0.00373532550693703,0.00479233226837061,0.00372538584353379,0.00583554376657825,0.00159574468085106,0.00158814187400741,0.00106157112526539,0.00692963752665245,0.00425985090521832,0.00530785562632696,0.0053276505061268,0.0026525198938992,0.00636942675159236,0.00275027502750275,0.00324851109907959,0.00107066381156317,0.00272479564032698,0.00484913793103448,0.00214132762312634,0.00612833453496756,0.00267665952890792,0.00650054171180932,0.00531632110579479,0.00377358490566038,0.00372935535428876,0.00374933047670059,0.0021680216802168,0.00753904146472806,0.00485436893203883,0.00374131480491716,0.00319148936170213,0.00213333333333333,0.00586979722518677,0.00427807486631016,0.00425079702444208,0.00585729499467519,0.00587920897915553,0.00109289617486339,0.00161987041036717,0.00163934426229508,0.00215749730312837,0.0032520325203252,0.00161550888529887,0.00107238605898123,0.000537345513164965,0.00541418516513265,0.0016304347826087,0.00651819663226507,0.00161812297734628,0.00215401184706516,0.00214477211796247,0.00322234156820623,0.00818330605564648,0.00489929232444202
"DH_DG.1",0.00265111346765642,1,0.0170575692963753,0.00735680504466632,0.0149094781682641,0.00209753539590981,0.00797872340425532,0.00211304807184363,0.00524658971668416,0.00476694915254237,0.00736454497632825,0.00264830508474576,0.00315955766192733,0.00374732334047109,0.00316288877174486,0.00687466948704389,0.00262881177707676,0.00796178343949045,0.00315623356128353,0.0015748031496063,0.00369393139841689,0.00315457413249211,0.0047418335089568,0.00156739811912226,0.00421940928270042,0.00157068062827225,0.00315623356128353,0.00315126050420168,0.00368421052631579,0.00209314495028781,0.00368227248816412,0.00262329485834208,0.00313971742543171,0.00162954915806627,0.000533902829684997,0.000529100529100529,0.00161463939720129,0.00212539851222104,0.00105764145954521,0.0032108455226543,0.00211640211640212,0.00159914712153518,0.00209643605870021,0.00106326422115896,0.00157728706624606,0.00211528291909043,0.00107066381156317,0.00105820105820106,0.00106269925611052,0.00211081794195251,0.00157563025210084,0.00210970464135021,0.00315789473684211,0.00211081794195251,0.0031496062992126,0.0010482180293501,0.00157894736842105,0.00162162162162162,0.00160170848905499,0.00107991360691145,0.00106553010122536,0.00214132762312634,0.00266524520255864,0.00425531914893617,0.00159574468085106,0.00320512820512821,0.0021505376344086,0.00160342063067878,0.0016,0,0.00212089077412513,0.00265392781316348,0.00214477211796247,0.00160944206008584
"DH_DG.2",0.0053276505061268,0.0170575692963753,1,0.00949868073878628,0.0106269925611052,0.00210194429847609,0.00531632110579479,0.00317965023847377,0.00790722192936215,0.00531067445565587,0.00950871632329636,0.00318640467339352,0.00316622691292876,0.00214247455811462,0.00316957210776545,0.00902814657461498,0.00475184794086589,0.00583864118895966,0.00210637177461822,0.00421940928270042,0.00582935877053524,0.00263296471827278,0.00369198312236287,0.00262054507337526,0.00210970464135021,0.00473684210526316,0.00475184794086589,0.00315789473684211,0.00263435194942044,0.00367647058823529,0.00474934036939314,0.00262881177707676,0.00157068062827225,0.00272479564032698,0.00375738056897477,0.00106100795755968,0.00269978401727862,0.00373333333333333,0.00371944739638682,0.00285714285714286,0.00212089077412513,0.00213789417423838,0.000524383848977452,0.00159914712153518,0.00105318588730911,0.00265111346765642,0.0032258064516129,0.00212314225053079,0.00213219616204691,0.00105652403592182,0.000525762355415352,0.00317460317460317,0.00369393139841689,0.00211528291909043,0.00368421052631579,0.00157645822385707,0.00158227848101266,0.0021680216802168,0.00106951871657754,0.00162425554953979,0.00374732334047109,0.00268384326355341,0.00320684126135756,0.000531067445565587,0.00159914712153518,0.00160342063067878,0.0021551724137931,0.00160685591858597,0.00213903743315508,0.00481540930979133,0.00159320233669676,0.00212652844231792,0.00107353730542136,0.00269106566200215
"DH_CA1",0.00476947535771065,0.00735680504466632,0.00949868073878628,1,0.00526038926880589,0.0031413612565445,0.00742311770943796,0.00369393139841689,0.00628601361969618,0.00157977883096367,0.00418410041841004,0.00370174510840825,0.00367840252233316,0.00427350427350427,0.00315457413249211,0.00791974656810982,0.00314795383001049,0.00794070937003706,0.00314795383001049,0.00157068062827225,0.00792811839323467,0.0041994750656168,0.00420168067226891,0.00365535248041775,0.00420831141504471,0.00104384133611691,0.00314795383001049,0.00209314495028781,0.00314795383001049,0.00261096605744125,0.00209533787323206,0.00261643118785976,0.00104166666666667,0.00162513542795233,0.00159914712153518,0.00317460317460317,0.00376546530392684,0.00318302387267905,0.00211193241816262,0.00356252226576416,0.00211081794195251,0.0048,0.00366492146596859,0.00106044538706257,0.0010482180293501,0.00158144438587243,0.00428494911622924,0.00105540897097625,0.000529661016949153,0.00316122233930453,0.0047293746715712,0.00368809272918862,0.0031496062992126,0.00210526315789474,0.000522193211488251,0.00209314495028781,0.00262743037309511,0.00053850296176629,0.00106439595529537,0.00107700592353258,0.00106269925611052,0.00160170848905499,0.00372538584353379,0.00158730158730159,0.000529941706412295,0.00106326422115896,0.00160771704180064,0.00320341697810998,0.00106326422115896,0.0026567481402763,0,0.00211640211640212,0.00267522739432852,0.00106951871657754
"DH_DG.3",0.00802139037433155,0.0149094781682641,0.0106269925611052,0.00526038926880589,1,0.00368809272918862,0.00478723404255319,0.00265111346765642,0.0047343503419253,0.00211976682564918,0.00845219228737454,0.00159235668789809,0.00423056583818086,0.00483870967741936,0.00529941706412295,0.00850159404888417,0.00635256749602965,0.00691489361702128,0.00263713080168776,0.00157977883096367,0.00476947535771065,0.00369393139841689,0.00422609614368727,0.00262329485834208,0.00476442562202223,0.00315623356128353,0.00369588173178458,0.00316122233930453,0.00369588173178458,0.0010487676979549,0.00369393139841689,0.00157728706624606,0.0031496062992126,0.00108932461873638,0.00160857908847185,0.00106213489113117,0.0027027027027027,0.00159829515183804,0.00212426978226235,0.00501432664756447,0.00425531914893617,0.00214018191546281,0.00105042016806723,0.0016008537886873,0.00423056583818086,0.00105988341282459,0.0021505376344086,0.00159320233669676,0.00481540930979133,0.00211752249867655,0.00158061116965227,0.00105708245243129,0.00316789862724393,0.00211752249867655,0.00315955766192733,0.00263296471827278,0.00158394931362196,0.00325909831613254,0.00160685591858597,0.0016260162601626,0.0037513397642015,0.00107296137339056,0.00428494911622924,0.00212992545260916,0.00320684126135756,0.00214132762312634,0.00323974082073434,0.00214592274678112,0.00321543408360129,0.000533333333333333,0.00212765957446809,0.00373134328358209,0.00593952483801296,0.00323450134770889
"DH_Inh",0.00531914893617021,0.00209753539590981,0.00210194429847609,0.0031413612565445,0.00368809272918862,1,0.00317796610169492,0.00476947535771065,0.00209314495028781,0.00370566437268396,0.00525210084033613,0.0053134962805526,0.00263296471827278,0.00428724544480171,0.00105263157894737,0.00157894736842105,0.00421496311907271,0.000527148128624143,0.00580474934036939,0.00368421052631579,0.0047568710359408,0.00368421052631579,0.00210304942166141,0.00419287211740042,0.00528262017960909,0.00104712041884817,0.00105042016806723,0.00157397691500525,0.00157645822385707,0.00261917234154007,0.00210194429847609,0.00209863588667366,0.0036668412781561,0,0.00214018191546281,0.00158982511923688,0.0021551724137931,0.00159404888416578,0.000528820729772607,0.00142500890630566,0.00371155885471898,0.00106609808102345,0.00157232704402516,0.00373333333333333,0.00157811678064177,0.00105708245243129,0.00107123727905731,0.00318302387267905,0.00106326422115896,0.00105485232067511,0.00263019463440295,0.00158227848101266,0.00105097214923805,0.00211193241816262,0.00420609884332282,0.0010487676979549,0,0.00270709258256632,0.00267379679144385,0.00270562770562771,0.0016,0.00214247455811462,0.00427350427350427,0.00212426978226235,0.000531632110579479,0.00213561131873999,0.00107469102632993,0.000534188034188034,0.00267094017094017,0.0032,0.000529661016949153,0.00159151193633952,0.00268384326355341,0.00268672756582483
"DH_Sub_Ent",0.0059044551798175,0.00797872340425532,0.00531632110579479,0.00742311770943796,0.00478723404255319,0.00317796610169492,1,0.00266666666666667,0.00529380624669137,0.00481026189203634,0.00529661016949153,0.00806018269747448,0.00586041555673948,0.00595560368164591,0.00586666666666667,0.00425758382118148,0.00638977635782748,0.00587920897915553,0.00478468899521531,0.00424853956452469,0.00426212040490144,0.00424853956452469,0.00371747211895911,0.00369783412572636,0.00801282051282051,0.00370566437268396,0.00531914893617021,0.00477707006369427,0.00425079702444208,0.00317124735729387,0.00371549893842887,0.00477453580901857,0.00529100529100529,0.000547645125958379,0.00107816711590297,0.00106837606837607,0.00162954915806627,0.00537923614846692,0.00267236771779797,0.00395114942528736,0.00428036383092563,0.00594273365748244,0.00530503978779841,0.00214822771213749,0.00265533722782793,0.00213447171824973,0.00597176981541802,0.00428494911622924,0.00160944206008584,0.00426894343649947,0.00318471337579618,0.00266240681576145,0.00532197977647685,0.00319829424307036,0.00477453580901857,0.00424403183023873,0.00212539851222104,0.000544959128065395,0.00269687162891046,0.000544662309368192,0.00215285252960172,0.00216099405726634,0.0021505376344086,0.00267952840300107,0.00161030595813205,0.00107584722969338,0.00271444082519001,0.00161812297734628,0.00215401184706516,0.00322754168908015,0.00160427807486631,0.00429184549356223,0.00108108108108108,0.00543478260869565
"DH_Asc",0.00589812332439678,0.00211304807184363,0.00317965023847377,0.00369393139841689,0.00265111346765642,0.00476947535771065,0.00266666666666667,1,0.00263713080168776,0.00587920897915553,0.00316789862724393,0.00643086816720257,0.00853788687299893,0.00594916170903191,0.00586041555673948,0.00212201591511936,0.00477960701009028,0.00212765957446809,0.00211864406779661,0.00637958532695375,0.00425758382118148,0.00691489361702128,0.0031813361611877,0.00422386483632524,0.00265392781316348,0.00370174510840825,0.00264970853206147,0.00637280934678704,0.0031813361611877,0.00475938656795346,0.00745077168706759,0.00264410364886304,0.00848356309650053,0.00219178082191781,0.0032379924446843,0.00160170848905499,0.00380641653072322,0.00591397849462366,0.00481540930979133,0.00647715005397625,0.00481283422459893,0.0021505376344086,0.00158394931362196,0.00538213132400431,0.00371747211895911,0.0032017075773746,0.00216099405726634,0.00320684126135756,0.00160771704180064,0.00266098988823842,0.0031813361611877,0.00319318786588611,0.00371549893842887,0.00533617929562433,0.00423728813559322,0.00370762711864407,0.00586041555673948,0.00327510917030568,0.00215401184706516,0.00272628135223555,0.00376952073236403,0.00107816711590297,0.00107296137339056,0.00321371183717193,0.00160857908847185,0.00161290322580645,0.00162513542795233,0.00377969762419006,0.00269106566200215,0.00107238605898123,0.00536193029490617,0.00267522739432852,0.00378992961559285,0.00433839479392625
"DH_CA2.3",0.00370762711864407,0.00524658971668416,0.00790722192936215,0.00628601361969618,0.0047343503419253,0.00209314495028781,0.00529380624669137,0.00263713080168776,1,0.00582010582010582,0.0026123301985371,0.00317292437863564,0.0010487676979549,0.00373931623931624,0.00210194429847609,0.0105932203389831,0.00473186119873817,0.00847906730259671,0.00209753539590981,0.00262191924488726,0.00686740623349181,0.0047293746715712,0.00367647058823529,0.0031331592689295,0.0015748031496063,0.00366492146596859,0.00526038926880589,0.00261917234154007,0.0031496062992126,0.00156576200417537,0.00209643605870021,0.00209314495028781,0.0047071129707113,0.00216919739696312,0.00106609808102345,0.00317628374801482,0.000536480686695279,0.0026525198938992,0.0037037037037037,0.00213523131672598,0.00158311345646438,0.00053134962805526,0.0031413612565445,0.00106100795755968,0.0010487676979549,0.00263991552270327,0.00321199143468951,0.00317460317460317,0.00372142477405635,0.000525762355415352,0.00104766893661603,0.003690036900369,0.000523834468308015,0.00316288877174486,0.00209314495028781,0.00367068694284216,0.00421274354923644,0.00161812297734628,0.00266666666666667,0.00269832703723691,0.00212879191059074,0.00267236771779797,0.00106213489113117,0.00105820105820106,0.000530222693531283,0.00212992545260916,0.00107181136120043,0.00266951414842499,0.00319829424307036,0.00106157112526539,0.00158646218931782,0.00317965023847377,0.00214018191546281,0.00160599571734475
"DH_Mgc",0.00589812332439678,0.00476694915254237,0.00531067445565587,0.00157977883096367,0.00211976682564918,0.00370566437268396,0.00481026189203634,0.00587920897915553,0.00582010582010582,1,0.00582318687136051,0.00589180503481521,0.0117773019271949,0.0075839653304442,0.0123324396782842,0.00639318060735216,0.0079914757591902,0.00159489633173844,0.00158814187400741,0.00637958532695375,0.0026567481402763,0.00371155885471898,0.00264970853206147,0.0138592750533049,0.00585729499467519,0.00158311345646438,0.0031813361611877,0.00583864118895966,0.00424628450106157,0.0117145899893504,0.00745077168706759,0.00851063829787234,0.0111642743221691,0.00164293537787514,0.00595238095238095,0.0048205677557579,0.00271591526344378,0.00808189655172414,0.00427807486631016,0.0115732368896926,0.00642742367434387,0.00865800865800866,0.0101171458998935,0.00268384326355341,0.008,0.0102095647501343,0.00596529284164859,0.00697424892703863,0.0037593984962406,0.00426439232409382,0.00424628450106157,0.00694444444444444,0.00318302387267905,0.00694815606627472,0.0117395944503735,0.00637280934678704,0.0101658640984484,0.00218102508178844,0.00431732325957906,0.00327332242225859,0.00268961807423346,0.00432666306111412,0.00268672756582483,0.0037513397642015,0.00268384326355341,0.00215169445938677,0.00489130434782609,0.00649702219815918,0.00377155172413793,0.00376344086021505,0.00267379679144385,0.00428724544480171,0.00596852957135106,0.00761697497279652
