dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade	file
Up	0.000000000261949998607145	3.28088843846379	2.13827211582287	5.27062155703681	280	670	257	352	95130	73538	DH	1	Ogc	Glia	intersect_1_A_comp.bed
Down	0.0000000000000000000000000000000000000000000178982568594638	0.325015573944793	0.278270530265378	0.379718197020605	280	670	257	352	95130	73538	DH	1	Ogc	Glia	intersect_1_A_comp.bed
Up	0.0000027538225289716	1.47997628398109	1.24859180542256	1.76174164632386	808	888	635	461	169709	120945	DH	2	DG.Card6.1	ExN	intersect_2_A_comp.bed
Down	0.000000000000000000000000000000000898224349545385	0.435293060568551	0.380611050658063	0.497942315528953	808	888	635	461	169709	120945	DH	2	DG.Card6.1	ExN	intersect_2_A_comp.bed
Up	0.000000264398532392455	1.4708723692183	1.26286968085974	1.71879120782285	971	690	753	367	166396	116702	DH	3	DG.Card6.2	ExN	intersect_3_A_comp.bed
Down	0.0000000000000000000122122061268481	0.483814060875306	0.415344122268767	0.563837531591802	971	690	753	367	166396	116702	DH	3	DG.Card6.2	ExN	intersect_3_A_comp.bed
Up	0.0000000704420536158713	1.45392455968733	1.26303949668319	1.6780457093657	1079	787	817	443	186705	127335	DH	4	CA1	ExN	intersect_4_A_comp.bed
Down	0.00000000000306223189683468	0.600427933145894	0.520191817092165	0.693514291101705	1079	787	817	443	186705	127335	DH	4	CA1	ExN	intersect_4_A_comp.bed
Up	0.000000000000175882884496008	1.93066112337053	1.60069182216915	2.34305430294871	796	767	662	431	156444	112485	DH	5	DG.Penk	ExN	intersect_5_A_comp.bed
Down	0.0000000000000000000264512429942986	0.501274624052736	0.433433459895445	0.580121808606861	796	767	662	431	156444	112485	DH	5	DG.Penk	ExN	intersect_5_A_comp.bed
Up	0.000000806320805800686	1.40889881246266	1.22421635040956	1.62569884651255	1109	729	849	497	183960	128513	DH	6	Inh	InN	intersect_6_A_comp.bed
Down	0.33182371400863	0.924274028774261	0.789044006649282	1.08519679948563	1109	729	849	497	183960	128513	DH	6	Inh	InN	intersect_6_A_comp.bed
Up	0.000000000757993622535394	1.57132192334034	1.35261930522878	1.83138581861536	1020	719	796	449	174031	120672	DH	7	Sub_Ent	ExN	intersect_7_A_comp.bed
Down	0.0000832115476089416	0.735318729147514	0.630701810655607	0.85863336020564	1020	719	796	449	174031	120672	DH	7	Sub_Ent	ExN	intersect_7_A_comp.bed
Up	0.0000000000187460546917837	2.59889560900336	1.90067424752892	3.62944107633582	394	801	349	559	119613	89592	DH	8	Asc	Glia	intersect_8_A_comp.bed
Down	0.00106985273780997	0.774022175298365	0.664075294344948	0.904330758685355	394	801	349	559	119613	89592	DH	8	Asc	Glia	intersect_8_A_comp.bed
Up	0.000000430901017688711	1.42456270343689	1.23620140306284	1.64589714849215	1055	817	796	478	187318	127992	DH	9	CA2-3	ExN	intersect_9_A_comp.bed
Down	0.00000000458647982093474	0.653562578514178	0.56726061838944	0.753662305552667	1055	817	796	478	187318	127992	DH	9	CA2-3	ExN	intersect_9_A_comp.bed
Up	0.000000000000000134813263713861	3.18849934343628	2.3115761215396	4.506305286775	488	298	447	206	79968	61873	DH	10	Mcg	Immune	intersect_10_A_comp.bed
Down	0.00107662769803126	0.654846741909475	0.509431440640028	0.847184277862865	488	298	447	206	79968	61873	DH	10	Mcg	Immune	intersect_10_A_comp.bed
Up	0.00000000000131930917764331	2.17989602922753	1.7245881359617	2.78270468674208	508	1125	422	665	163428	113158	DH	11	Choroid_Plexus	Glia	intersect_11_A_comp.bed
Down	0.000000000000842152422875533	0.642227283365077	0.569118783768658	0.725217271516947	508	1125	422	665	163428	113158	DH	11	Choroid_Plexus	Glia	intersect_11_A_comp.bed
Up	0.00000000000000351395339194966	3.35809088611344	2.3563120327816	4.92956459395124	379	579	345	389	95959	72099	DH	12	Opc	Glia	intersect_12_A_comp.bed
Down	0.0000209615798306131	0.677546786085886	0.567804508202089	0.810743169916087	379	579	345	389	95959	72099	DH	12	Opc	Glia	intersect_12_A_comp.bed
Up	0.692001986533859	1.17127090415375	0.673993547336864	2.17870013824909	108	146	93	127	25507	21454	DH	13	Endo	Glia	intersect_13_A_comp.bed
Down	0.425856450354828	1.26274155146506	0.775086656883466	2.1689747795313	108	146	93	127	25507	21454	DH	13	Endo	Glia	intersect_13_A_comp.bed
Up	0.00513623012524008	1.76226112500093	1.17068745815132	2.75858079112262	254	134	228	109	38904	32394	DH	14	Pericytes	Glia	intersect_14_A_comp.bed
Down	0.561818464254568	0.876231360108135	0.562708120081941	1.414045769913	254	134	228	109	38904	32394	DH	14	Pericytes	Glia	intersect_14_A_comp.bed
