dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade	file
Up	0.00000000019888601149019	0.298792217943159	0.183954459613494	0.462373613113615	280	670	22	310	95130	21121	DH	1	Ogc	Glia	intersect_1_B_comp.bed
Down	0.00000000000000000000000000000000000000000115296294535701	3.01732365786544	2.58163910993372	3.52477822844731	280	670	22	310	95130	21121	DH	1	Ogc	Glia	intersect_1_B_comp.bed
Up	0.000000334284325127478	0.649958738687293	0.5442423972235	0.772685097930427	808	888	165	419	169709	48036	DH	2	DG.Card6.1	ExN	intersect_2_B_comp.bed
Down	0.0000000000000000000000000000000192558943533835	2.26293516055728	1.97792753911931	2.58829940797309	808	888	165	419	169709	48036	DH	2	DG.Card6.1	ExN	intersect_2_B_comp.bed
Up	0.0000000734855856719	0.665875059428516	0.568764029640895	0.776906300685218	971	690	211	324	166396	48962	DH	3	DG.Card6.2	ExN	intersect_3_B_comp.bed
Down	0.000000000000000000000447083391605128	2.12327888422669	1.82200664019014	2.4735169731606	971	690	211	324	166396	48962	DH	3	DG.Card6.2	ExN	intersect_3_B_comp.bed
Up	0.00000000945719091531543	0.668625785525001	0.57828040820778	0.770943087238933	1079	787	253	341	186705	58658	DH	4	CA1	ExN	intersect_4_B_comp.bed
Down	0.00000000000262543758647658	1.66902753467594	1.44476270438254	1.92672341162294	1079	787	253	341	186705	58658	DH	4	CA1	ExN	intersect_4_B_comp.bed
Up	0.0000000000000109412321763549	0.496533999123859	0.407323748568978	0.60129991027215	796	767	127	329	156444	43269	DH	5	DG.Penk	ExN	intersect_5_B_comp.bed
Down	0.000000000000000000253674463695964	1.96477704113542	1.69698439042594	2.27296244565925	796	767	127	329	156444	43269	DH	5	DG.Penk	ExN	intersect_5_B_comp.bed
Up	0.00000325362479308698	0.723497439673102	0.626950430820522	0.83257328660844	1109	729	260	231	183960	54711	DH	6	Inh	InN	intersect_6_B_comp.bed
Down	0.255786022662507	1.09580459946029	0.933083083827948	1.28384002957006	1109	729	260	231	183960	54711	DH	6	Inh	InN	intersect_6_B_comp.bed
Up	0.0000000000552477162297879	0.615570462802365	0.526917418877087	0.716657072199754	1020	719	215	268	174031	52660	DH	7	Sub_Ent	ExN	intersect_7_B_comp.bed
Down	0.0000652251554152651	1.36961407880275	1.17257491073653	1.59725069291543	1020	719	215	268	174031	52660	DH	7	Sub_Ent	ExN	intersect_7_B_comp.bed
Up	0.000000000228424624671099	0.405255701341811	0.291177443723601	0.552524842237555	394	801	46	229	119613	29418	DH	8	Asc	Glia	intersect_8_B_comp.bed
