dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade	file
Up	0.108927742132994	0.804250892037638	0.610201672500123	1.05080672979608	280	670	77	277	95130	30488	DH	1	Ogc	Glia	intersect_1_CTCF_P0_forebrain.bed
Down	0.00000047410540288147	1.49443868839237	1.2760063762587	1.74842152334094	280	670	77	277	95130	30488	DH	1	Ogc	Glia	intersect_1_CTCF_P0_forebrain.bed
Up	0.41111741639515	0.926505866049656	0.774017846379371	1.1035751604784	808	888	160	167	169709	35711	DH	2	DG.Card6.1	ExN	intersect_2_CTCF_P0_forebrain.bed
Down	0.107366154748526	0.869116966932949	0.729753538356064	1.03025424153291	808	888	160	167	169709	35711	DH	2	DG.Card6.1	ExN	intersect_2_CTCF_P0_forebrain.bed
Up	0.00360223163507634	0.782642329948764	0.659029955452882	0.925000328771506	971	690	170	135	166396	35497	DH	3	DG.Card6.2	ExN	intersect_3_CTCF_P0_forebrain.bed
Down	0.284011385868126	0.896986561580666	0.737322801651613	1.08489450345073	971	690	170	135	166396	35497	DH	3	DG.Card6.2	ExN	intersect_3_CTCF_P0_forebrain.bed
Up	0.418266495259383	1.06447830546815	0.91354239246893	1.23610416018341	1079	787	221	134	186705	36376	DH	4	CA1	ExN	intersect_4_CTCF_P0_forebrain.bed
Down	0.0864428674485166	0.848047519970218	0.698620190814764	1.02314771235371	1079	787	221	134	186705	36376	DH	4	CA1	ExN	intersect_4_CTCF_P0_forebrain.bed
Up	0.0390406941175444	0.829223701063909	0.689281913696384	0.992316151179133	796	767	150	156	156444	34224	DH	5	DG.Penk	ExN	intersect_5_CTCF_P0_forebrain.bed
Down	0.314190844453096	0.911790985906088	0.759502786665062	1.0892294037452	796	767	150	156	156444	34224	DH	5	DG.Penk	ExN	intersect_5_CTCF_P0_forebrain.bed
Up	0.0427921736671243	0.852334596107088	0.726612747780502	0.995729298468264	1109	729	197	164	183960	37195	DH	6	Inh	InN	intersect_6_CTCF_P0_forebrain.bed
Down	0.127493919520089	1.14536861657078	0.956266079092136	1.36567080131551	1109	729	197	164	183960	37195	DH	6	Inh	InN	intersect_6_CTCF_P0_forebrain.bed
Up	0.00238493640541947	1.2550228240494	1.0829867632892	1.45036990519791	1020	719	249	122	174031	35618	DH	7	Sub_Ent	ExN	intersect_7_CTCF_P0_forebrain.bed
Down	0.0204464745689718	0.794135327091539	0.647943231592619	0.96672592238258	1020	719	249	122	174031	35618	DH	7	Sub_Ent	ExN	intersect_7_CTCF_P0_forebrain.bed
Up	0.0190501826482055	1.29202645124153	1.03612175356452	1.60393026551781	394	801	125	268	119613	31640	DH	8	Asc	Glia	intersect_8_CTCF_P0_forebrain.bed
Down	0.0000137399490404497	1.39803846476381	1.2019433026612	1.62303962810583	394	801	125	268	119613	31640	DH	8	Asc	Glia	intersect_8_CTCF_P0_forebrain.bed
Up	0.532156201895802	0.947847591365541	0.807137921100752	1.10872233780551	1055	817	196	129	187318	36343	DH	9	CA2-3	ExN	intersect_9_CTCF_P0_forebrain.bed
Down	0.00882340079041417	0.778909702157374	0.640067031880973	0.941661265256446	1055	817	196	129	187318	36343	DH	9	CA2-3	ExN	intersect_9_CTCF_P0_forebrain.bed
Up	0.000000104124331519856	1.65137549728868	1.37157732079964	1.98538273433842	488	298	203	113	79968	24098	DH	10	Mcg	Immune	intersect_10_CTCF_P0_forebrain.bed
Down	0.00435759622741503	1.41613583928613	1.11001868778208	1.80016177019116	488	298	203	113	79968	24098	DH	10	Mcg	Immune	intersect_10_CTCF_P0_forebrain.bed
Up	0.381318028180453	1.09953036048233	0.884381803958372	1.35812065526391	508	1125	114	277	163428	34047	DH	11	Choroid_Plexus	Glia	intersect_11_CTCF_P0_forebrain.bed
