dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade	file
Up	0.00000569500167534835	1.74174014255261	1.36404284392828	2.22012628939999	280	670	124	238	95130	29810	DH	1	Ogc	Glia	intersect_1_H3K27ac_P0_forebrain.bed
Down	0.0215194553193137	1.20716663484425	1.02555419568677	1.41822489925568	280	670	124	238	95130	29810	DH	1	Ogc	Glia	intersect_1_H3K27ac_P0_forebrain.bed
Up	0.295038957156568	0.910088424216996	0.764482349729937	1.07876220698393	808	888	173	171	169709	39099	DH	2	DG.Card6.1	ExN	intersect_2_H3K27ac_P0_forebrain.bed
Down	0.00737139342913724	0.796691741823031	0.670038986471093	0.942978759514014	808	888	173	171	169709	39099	DH	2	DG.Card6.1	ExN	intersect_2_H3K27ac_P0_forebrain.bed
Up	0.0794321860046165	0.868237349825954	0.739600326058937	1.01547493781777	971	690	202	118	166396	38649	DH	3	DG.Card6.2	ExN	intersect_3_H3K27ac_P0_forebrain.bed
Down	0.0000987378189398209	0.681877127996643	0.554278425772357	0.832982157775586	971	690	202	118	166396	38649	DH	3	DG.Card6.2	ExN	intersect_3_H3K27ac_P0_forebrain.bed
Up	0.235875456173635	1.0898085972988	0.941863383823255	1.25740865237526	1079	787	250	94	186705	40467	DH	4	CA1	ExN	intersect_4_H3K27ac_P0_forebrain.bed
Down	0.00000000000205972942526294	0.490193835440822	0.390773928352585	0.6089527762937	1079	787	250	94	186705	40467	DH	4	CA1	ExN	intersect_4_H3K27ac_P0_forebrain.bed
Up	0.0158995371693607	1.21353089671982	1.03395496193054	1.4202023247168	796	767	221	106	156444	37631	DH	5	DG.Penk	ExN	intersect_5_H3K27ac_P0_forebrain.bed
Down	0.00000000000270777239185077	0.506344172739699	0.408346727776248	0.622652078095978	796	767	221	106	156444	37631	DH	5	DG.Penk	ExN	intersect_5_H3K27ac_P0_forebrain.bed
Up	0.0331010221053234	0.849765209656175	0.729304504168066	0.986657532068294	1109	729	219	180	183960	41308	DH	6	Inh	InN	intersect_6_H3K27ac_P0_forebrain.bed
Down	0.154706061894516	1.13227682294647	0.951105335526643	1.34276940214329	1109	729	219	180	183960	41308	DH	6	Inh	InN	intersect_6_H3K27ac_P0_forebrain.bed
Up	0.000000000000000000000132139737275614	1.93703206901482	1.70012005451216	2.20480866749186	1020	719	374	129	174031	40044	DH	7	Sub_Ent	ExN	intersect_7_H3K27ac_P0_forebrain.bed
Down	0.00116587078233487	0.731590104359811	0.599718894151992	0.886834355801016	1020	719	374	129	174031	40044	DH	7	Sub_Ent	ExN	intersect_7_H3K27ac_P0_forebrain.bed
Up	0.0000069245523665084	1.60124057882897	1.30015399789103	1.96775008174202	394	801	158	270	119613	35266	DH	8	Asc	Glia	intersect_8_H3K27ac_P0_forebrain.bed
Down	0.0102634155685746	1.21609981496314	1.04590270882264	1.41143862762115	394	801	158	270	119613	35266	DH	8	Asc	Glia	intersect_8_H3K27ac_P0_forebrain.bed
Up	0.910287505710622	0.989314080130281	0.84960284110885	1.14818136813097	1055	817	225	123	187318	40288	DH	9	CA2-3	ExN	intersect_9_H3K27ac_P0_forebrain.bed
Down	0.00000378632699155625	0.646818743046168	0.529364784618088	0.784809442675459	1055	817	225	123	187318	40288	DH	9	CA2-3	ExN	intersect_9_H3K27ac_P0_forebrain.bed
Up	0.0000000000000000000000000314012603616691	2.64296491013661	2.20044857324317	3.17815581055858	488	298	276	97	79968	26391	DH	10	Mcg	Immune	intersect_10_H3K27ac_P0_forebrain.bed
Down	0.901862659042395	0.97969712945883	0.76044510709904	1.25508726804328	488	298	276	97	79968	26391	DH	10	Mcg	Immune	intersect_10_H3K27ac_P0_forebrain.bed
Up	0.374519383645364	1.09559478412256	0.889796290612374	1.34176064337086	508	1125	129	371	163428	38738	DH	11	Choroid_Plexus	Glia	intersect_11_H3K27ac_P0_forebrain.bed
Down	0.00000000000217135045714294	1.58378188020292	1.39414965851851	1.79675611709225	508	1125	129	371	163428	38738	DH	11	Choroid_Plexus	Glia	intersect_11_H3K27ac_P0_forebrain.bed
Up	0.00000000000000000000000000000000000817198967464216	3.70189060508887	2.98289881945584	4.61318793092073	379	579	248	225	95959	32466	DH	12	Opc	Glia	intersect_12_H3K27ac_P0_forebrain.bed
Down	0.012006239690346	1.24298519954478	1.04645792208079	1.47407572150676	379	579	248	225	95959	32466	DH	12	Opc	Glia	intersect_12_H3K27ac_P0_forebrain.bed
Up	0.000830043004297617	2.03453260235188	1.30716018922247	3.25284670694234	108	146	80	129	25507	14898	DH	13	Endo	Glia	intersect_13_H3K27ac_P0_forebrain.bed
Down	0.00000000000000364631294582138	5.40337294758136	3.24414201438196	9.5676733842626	108	146	80	129	25507	14898	DH	13	Endo	Glia	intersect_13_H3K27ac_P0_forebrain.bed
Up	0.00000000143983026917322	2.21855880069718	1.69162505956411	2.93081254370328	254	134	174	84	38904	19259	DH	14	Pericytes	Glia	intersect_14_H3K27ac_P0_forebrain.bed
Down	0.00239029638059	1.7136366516899	1.19269093185528	2.48460790721515	254	134	174	84	38904	19259	DH	14	Pericytes	Glia	intersect_14_H3K27ac_P0_forebrain.bed
Up	0.0709966607216762	1.4471830087061	0.964999738506651	2.20873290596594	117	125	81	112	24510	14916	DH	15	SMC	Glia	intersect_15_H3K27ac_P0_forebrain.bed
Down	0.00000000000100000294866116	5.54075213455819	3.10991627636474	10.7353227019378	117	125	81	112	24510	14916	DH	15	SMC	Glia	intersect_15_H3K27ac_P0_forebrain.bed
Up	0.0000844869499524827	0.709600131971903	0.591586283858066	0.846330395234288	960	1031	149	140	199242	40977	FC	1	L2-3	ExN	intersect_1_H3K27ac_P0_forebrain.bed
Down	0.00000000753537837302381	0.606878690740278	0.503969445152295	0.726252233642448	960	1031	149	140	199242	40977	FC	1	L2-3	ExN	intersect_1_H3K27ac_P0_forebrain.bed
Up	0.0000000141695635030192	1.71245246296693	1.42045677888103	2.06036637380167	493	759	191	258	125308	33797	FC	2	Ogc	Glia	intersect_2_H3K27ac_P0_forebrain.bed
Down	0.000023152636809468	1.39436290127719	1.1945794090463	1.62443906481729	493	759	191	258	125308	33797	FC	2	Ogc	Glia	intersect_2_H3K27ac_P0_forebrain.bed
Up	0.00131113576039517	0.760901480952696	0.638369846109494	0.90226094868998	984	1015	161	142	200022	40908	FC	3	L4	ExN	intersect_3_H3K27ac_P0_forebrain.bed
Down	0.000000125843046870589	0.63267406687986	0.525891247330536	0.756532405216851	984	1015	161	142	200022	40908	FC	3	L4	ExN	intersect_3_H3K27ac_P0_forebrain.bed
Up	0.000441722819151958	0.767557781022137	0.657173785144276	0.893040224002157	1161	773	208	110	193564	42855	FC	4	Inh.Vip.Npy	InN	intersect_4_H3K27ac_P0_forebrain.bed
Down	0.0000000390440779706869	0.583482227187686	0.472291309636658	0.715107510781539	1161	773	208	110	193564	42855	FC	4	Inh.Vip.Npy	InN	intersect_4_H3K27ac_P0_forebrain.bed
Up	0.556075904852606	1.0506806773122	0.888144884834809	1.23889674499478	739	720	199	228	146010	37914	FC	5	Asc	Glia	intersect_5_H3K27ac_P0_forebrain.bed
Down	0.000646778791040972	1.32123120178289	1.12373714627204	1.54970337861344	739	720	199	228	146010	37914	FC	5	Asc	Glia	intersect_5_H3K27ac_P0_forebrain.bed
Up	0.0000419698704251282	0.729106874437957	0.620688736967637	0.852672484722691	1209	894	189	169	210530	42662	FC	6	L5a.Deptor	ExN	intersect_6_H3K27ac_P0_forebrain.bed
Down	0.337480825645079	0.917233395233346	0.77089185684007	1.08620278755719	1209	894	189	169	210530	42662	FC	6	L5a.Deptor	ExN	intersect_6_H3K27ac_P0_forebrain.bed
Up	0.0000438318748449785	1.35992173883644	1.17239286350442	1.57455399375539	831	549	277	77	138185	37148	FC	7	Inh.Sema5a.S100a13	InN	intersect_7_H3K27ac_P0_forebrain.bed
Down	0.000000000000580875117481978	0.44369520609673	0.343993680101571	0.565773029286669	831	549	277	77	138185	37148	FC	7	Inh.Sema5a.S100a13	InN	intersect_7_H3K27ac_P0_forebrain.bed
Up	0.0000126432058686542	0.681777848043319	0.566562055502891	0.815672817517021	901	952	145	194	185436	40714	FC	8	L6	ExN	intersect_8_H3K27ac_P0_forebrain.bed
