dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade
Up	0.000595517534511162	2.36364514492571	1.43639882770776	3.69645810400423	280	670	21	25	95130	3155	DH	1	Ogc	Glia
Down	0.515881136064001	1.12992544243658	0.724589063467235	1.68653582874811	280	670	21	25	95130	3155	DH	1	Ogc	Glia
Up	0.300893926921763	1.23372402391645	0.784742520519673	1.85202298773313	808	888	24	19	169709	4109	DH	2	DG.Card6.1	ExN
Down	0.661898312862302	0.881166955190191	0.527376391868924	1.38633389710833	808	888	24	19	169709	4109	DH	2	DG.Card6.1	ExN
Up	0.0212729957545676	1.50536196067884	1.04059936092587	2.11246156522819	971	690	35	22	166396	4033	DH	3	DG.Card6.2	ExN
Down	0.212452013522474	1.32587792569339	0.824306216819157	2.02723777088055	971	690	35	22	166396	4033	DH	3	DG.Card6.2	ExN
Up	0.215536623054765	1.25062931223064	0.838419312271225	1.79907106459912	1079	787	30	16	186705	4174	DH	4	CA1	ExN
Down	0.809025990076714	0.907506936579414	0.515601952298173	1.48505543305747	1079	787	30	16	186705	4174	DH	4	CA1	ExN
Up	0.0659274590385257	1.44038501010593	0.949451356898848	2.10203021529002	796	767	28	16	156444	3862	DH	5	DG.Penk	ExN
Down	0.560664606154122	0.841727109307465	0.478129225357901	1.37779227598363	796	767	28	16	156444	3862	DH	5	DG.Penk	ExN
Up	0.372210401588195	1.18151926742972	0.797742502104849	1.68967520740499	1109	729	31	21	183960	4371	DH	6	Inh	InN
Down	0.391618546647356	1.2186632338609	0.748844997019004	1.87984758767815	1109	729	31	21	183960	4371	DH	6	Inh	InN
Up	0.916776740511701	1.01390537981652	0.645755557497237	1.51966994532223	1020	719	24	9	174031	4040	DH	7	Sub_Ent	ExN
Down	0.0609822125302912	0.533370481692084	0.242706620969298	1.01930467450148	1020	719	24	9	174031	4040	DH	7	Sub_Ent	ExN
Up	0.307002813427502	1.31104374150805	0.740921752965063	2.16001540968255	394	801	16	27	119613	3741	DH	8	Asc	Glia
Down	0.683049761318142	1.08045171913112	0.70644405844653	1.58710166027076	394	801	16	27	119613	3741	DH	8	Asc	Glia
Up	0.000165424634413918	1.87786733827004	1.35369252983265	2.54406729668151	1055	817	44	16	187318	4243	DH	9	CA2-3	ExN
Down	0.637778426273811	0.86187379495313	0.489773416255162	1.40995848350222	1055	817	44	16	187318	4243	DH	9	CA2-3	ExN
Up	0.000883060175692183	1.96152744867235	1.31445114541656	2.83043267857178	488	298	31	16	79968	2673	DH	10	Mcg	Myeloid
Down	0.0724041176416719	1.64065198713581	0.923624161112168	2.71648208935962	488	298	31	16	79968	2673	DH	10	Mcg	Myeloid
Up	0.000294255520983874	2.19399890305264	1.42898584099003	3.23750859587215	508	1125	27	33	163428	4077	DH	11	Choroid_Plexus	Glia
Down	0.336951309086103	1.18114793303908	0.807775686470815	1.67161980744891	508	1125	27	33	163428	4077	DH	11	Choroid_Plexus	Glia
Up	0.256465491236763	1.32066875253422	0.759939282640881	2.14764542526918	379	579	17	24	95959	3295	DH	12	Opc	Glia
Down	0.358178507016889	1.21610833549664	0.771416272538095	1.83178997102402	379	579	17	24	95959	3295	DH	12	Opc	Glia
Up	0.639975583641205	1.22576318405875	0.438657645978911	2.76957911127874	108	146	6	3	25507	1168	DH	13	Endo	Glia
Down	0.166205765452108	0.437174590179322	0.0889680805219458	1.3068322279604	108	146	6	3	25507	1168	DH	13	Endo	Glia
Up	0.376892662373676	1.24573581787525	0.684977689364997	2.10196769973866	254	134	15	7	38904	1866	DH	14	Pericytes	Glia
Down	0.688442315763655	1.09401571253626	0.430495358335871	2.32489887721267	254	134	15	7	38904	1866	DH	14	Pericytes	Glia
Up	0.00363197661179776	2.53199483578548	1.30060580142435	4.53936587671326	117	125	13	4	24510	1153	DH	15	SMC	Glia
Down	0.668119853579799	0.669674948811568	0.17926940926021	1.76413448190399	117	125	13	4	24510	1153	DH	15	SMC	Glia
Up	0.461115390590312	1.15964781822826	0.759270113369865	1.70048585529161	960	1031	27	20	199242	4851	FC	1	L2-3	ExN
Down	0.360748626304149	0.792727356102429	0.48168347506601	1.23232815778225	960	1031	27	20	199242	4851	FC	1	L2-3	ExN
Up	2.88856974827682e-06	2.45712917197175	1.71384703217375	3.43054209773995	493	759	38	21	125308	4119	FC	2	Ogc	Glia
Down	0.475161638396574	0.837210012631252	0.514575093341557	1.29114992386484	493	759	38	21	125308	4119	FC	2	Ogc	Glia
Up	0.00359504887985693	1.65271612495949	1.16624646232764	2.27970130460741	984	1015	39	11	200022	4873	FC	3	L4	ExN
Down	0.0028918403214398	0.438763127587803	0.218181779108876	0.789187446121815	984	1015	39	11	200022	4873	FC	3	L4	ExN
Up	0.233062203545886	1.2140000260052	0.849268027011643	1.68603821291812	1161	773	37	19	193564	5110	FC	4	Inh.Vip.Npy	InN
Down	0.910185377982295	0.92932329447662	0.555869909749964	1.4630498995065	1161	773	37	19	193564	5110	FC	4	Inh.Vip.Npy	InN
Up	0.676194101962988	1.0884623867697	0.705319958089024	1.61037593716269	739	720	26	21	146010	4733	FC	5	Asc	Glia
Down	0.750953357684222	0.896761995609965	0.551028459248775	1.38330128598817	739	720	26	21	146010	4733	FC	5	Asc	Glia
Up	0.925103885924789	0.955764970923337	0.631672585531322	1.3903355421838	1209	894	28	9	210530	5096	FC	6	L5a.Deptor	ExN
Down	0.00308303376070284	0.409961783856427	0.18672876608452	0.782434530815892	1209	894	28	9	210530	5096	FC	6	L5a.Deptor	ExN
Up	0.92044793837494	1.00250785925091	0.650087556806543	1.48197412851702	831	549	26	16	138185	4313	FC	7	Inh.Sema5a.S100a13	InN
Down	0.902047710464686	0.931758166381098	0.528194532405827	1.52903497179432	831	549	26	16	138185	4313	FC	7	Inh.Sema5a.S100a13	InN
Up	0.0908321973587707	0.638484415110582	0.355545307920081	1.05997918736391	901	952	15	19	185436	4790	FC	8	L6	ExN
Down	0.304320568317257	0.768006465461348	0.45986731827015	1.20754963794712	901	952	15	19	185436	4790	FC	8	L6	ExN
Up	1	0.979635155767362	0.542510704142351	1.63786990627883	415	479	15	21	89535	3301	FC	9	Mgc	Myeloid
Down	0.394368234282175	1.19780267237586	0.733306097415575	1.85624122089385	415	479	15	21	89535	3301	FC	9	Mgc	Myeloid
Up	0.921984823560497	1.00442174481566	0.657863263335966	1.47226084594653	1027	792	27	18	182065	4766	FC	10	Inh.Six3.Def6	InN
Down	0.654657734578455	0.86513512253938	0.509545826843511	1.37803987882022	1027	792	27	18	182065	4766	FC	10	Inh.Six3.Def6	InN
Up	0.232807360337157	1.23283994505033	0.837335034907675	1.75509379483621	963	857	32	24	182165	4941	FC	11	Inh.Sst.Pvalb	InN
Down	0.83284738763928	1.03342468299757	0.657697335512854	1.55020635030149	963	857	32	24	182165	4941	FC	11	Inh.Sst.Pvalb	InN
Up	0.114872287474321	1.38500304980386	0.880485752361128	2.08062343475532	720	1295	24	23	201630	4898	FC	12	Claustrum	ExN
Down	0.146113163165329	0.726268097568047	0.458252298828295	1.09598648855617	720	1295	24	23	201630	4898	FC	12	Claustrum	ExN
