dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade	file
Up	0.000000167033387262945	1.89000404386273	1.48258473875901	2.407116531598	280	670	132	287	95130	30500	DH	1	Ogc	Glia	intersect_1_H3K4me2_P0_forebrain.bed
Down	0.00000000680767994857526	1.58789137651218	1.35698214571248	1.85654954466882	280	670	132	287	95130	30500	DH	1	Ogc	Glia	intersect_1_H3K4me2_P0_forebrain.bed
Up	0.110766322053048	0.864315848028524	0.719749718112971	1.03258821994813	808	888	153	169	169709	36107	DH	2	DG.Card6.1	ExN	intersect_2_H3K4me2_P0_forebrain.bed
Down	0.108749768797886	0.869721286894088	0.730873118676119	1.03018631557271	808	888	153	169	169709	36107	DH	2	DG.Card6.1	ExN	intersect_2_H3K4me2_P0_forebrain.bed
Up	0.00064724355736335	0.751126937222693	0.631424994659676	0.889149645888183	971	690	166	125	166396	35842	DH	3	DG.Card6.2	ExN	intersect_3_H3K4me2_P0_forebrain.bed
Down	0.0290927161704773	0.805863140419502	0.658271836692499	0.980126598652764	971	690	166	125	166396	35842	DH	3	DG.Card6.2	ExN	intersect_3_H3K4me2_P0_forebrain.bed
Up	0.538492864956013	0.948896359474171	0.810155943505332	1.10717960390231	1079	787	203	98	186705	36646	DH	4	CA1	ExN	intersect_4_H3K4me2_P0_forebrain.bed
Down	0.000000125179772274085	0.582436413441045	0.46629832662619	0.720857485168092	1079	787	203	98	186705	36646	DH	4	CA1	ExN	intersect_4_H3K4me2_P0_forebrain.bed
Up	0.639841943978808	1.04192324509298	0.878687518890113	1.23071750662892	796	767	185	131	156444	35226	DH	5	DG.Penk	ExN	intersect_5_H3K4me2_P0_forebrain.bed
Down	0.000264089186877387	0.708799649774348	0.582515832293171	0.857050961072119	796	767	185	131	156444	35226	DH	5	DG.Penk	ExN	intersect_5_H3K4me2_P0_forebrain.bed
Up	0.000865178179380754	0.76631135964924	0.649803129015545	0.899588230578194	1109	729	182	181	183960	37519	DH	6	Inh	InN	intersect_6_H3K4me2_P0_forebrain.bed
Down	0.00369622136875405	1.28916546046181	1.08327550599964	1.5284049232485	1109	729	182	181	183960	37519	DH	6	Inh	InN	intersect_6_H3K4me2_P0_forebrain.bed
Up	0.00000000000000000194395820074541	1.84178262473724	1.61014244573367	2.10339076557022	1020	719	333	108	174031	36258	DH	7	Sub_Ent	ExN	intersect_7_H3K4me2_P0_forebrain.bed
Down	0.0000878778285380497	0.671657422053804	0.54203483500599	0.825625221393268	1020	719	333	108	174031	36258	DH	7	Sub_Ent	ExN	intersect_7_H3K4me2_P0_forebrain.bed
Up	0.0000254457728141812	1.56430897927328	1.26775448067974	1.92523217915897	394	801	151	291	119613	34006	DH	8	Asc	Glia	intersect_8_H3K4me2_P0_forebrain.bed
Down	0.00000155081278259985	1.43639891152098	1.23877535651895	1.6631167821339	394	801	151	291	119613	34006	DH	8	Asc	Glia	intersect_8_H3K4me2_P0_forebrain.bed
Up	0.48429094372566	1.05437160086297	0.903256230003921	1.22644109971149	1055	817	216	111	187318	36762	DH	9	CA2-3	ExN	intersect_9_H3K4me2_P0_forebrain.bed
