locations	counts	smth20_score	clust	tissue	direct	start	end	size
chr13:21700000-22100000	18	1.73131659663677	1	DH	Down	21700000	22100000	400000
chr14:41200000-43700000	26	1.46172033363449	1	FC	Up	41200000	43700000	2500000
chr13:21700000-22100000	13	1.27107684448504	2	FC	Down	21700000	22100000	400000
chr17:13100000-13600000	10	0.955069808355917	3	FC	Up	13100000	13600000	500000
chr13:67900000-68400000	10	0.941677270660679	3	FC	Up	67900000	68400000	500000
chr5:57300000-58100000	8	0.718995775870158	1	DH	Down	57300000	58100000	800000
chr14:41400000-43100000	11	0.676698821422169	9	DH	Up	41400000	43100000	1700000
chr8:21000000-21700000	7	0.6189893310871	4	DH	Up	21000000	21700000	700000
chr14:41400000-44700000	13	0.604031767727012	3	FC	Up	41400000	44700000	3300000
chr16:33800000-34000000	6	0.600000897684201	1	DH	Up	33800000	34000000	200000
chr13:68100000-68400000	6	0.593783775122494	1	FC	Up	68100000	68400000	300000
chrX:24700000-31100000	26	0.587416735975464	3	FC	Up	24700000	31100000	6400000
chr13:3000000-3400000	6	0.581911692607839	3	FC	Up	3000000	3400000	400000
chr14:41400000-43700000	9	0.498065590989064	6	FC	Up	41400000	43700000	2300000
chr13:68000000-68400000	5	0.487092478461895	5	DH	Up	68000000	68400000	400000
chr8:19200000-20700000	8	0.486549637686255	8	FC	Up	19200000	20700000	1500000
chr17:13100000-13600000	5	0.474194452455729	1	FC	Up	13100000	13600000	500000
chr1:41000000-41900000	6	0.449471999206994	1	FC	Down	41000000	41900000	900000
chrY:17000000-18400000	6	0.421213671741812	3	FC	Up	17000000	18400000	1400000
chrX:25700000-27400000	6	0.41009431652543	1	FC	Up	25700000	27400000	1700000
chr9:35800000-36600000	5	0.404014683232549	9	DH	Up	35800000	36600000	800000
chr5:17500000-17700000	4	0.401036785549752	3	DH	Down	17500000	17700000	200000
chr13:3200000-3400000	4	0.401036785549752	2	DH	Up	3200000	3400000	200000
chr13:3200000-3400000	4	0.401036785549752	3	DH	Up	3200000	3400000	200000
chr13:68100000-68300000	4	0.401036785549752	6	FC	Up	68100000	68300000	200000
chrX:8600000-8800000	4	0.401036785549752	3	FC	Up	8600000	8800000	200000
